timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497032425020,401,HTTP Request,200,,TenThreadClusterInstance 1-6,text,true,,3801,169,10,10,400,0,0
1497032425029,405,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,4328,209,10,10,404,0,0
1497032425170,284,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,3715,157,10,10,283,0,0
1497032425118,345,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,3845,187,10,10,344,0,0
1497032425167,382,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,3784,169,10,10,382,0,0
1497032425384,211,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,3861,191,10,10,211,0,0
1497032425414,231,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,4206,275,10,10,231,0,0
1497032425378,290,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,4874,207,10,10,290,0,0
1497032425345,346,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,3785,173,10,10,346,0,0
1497032425691,318,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,5894,209,10,10,317,0,75
1497032425595,448,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,3819,173,10,10,448,0,0
1497032425434,646,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,4631,175,10,10,644,0,0
1497032425454,627,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,3944,209,10,10,627,0,0
1497032425464,622,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,4067,195,10,10,621,0,0
1497032425645,443,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,3951,167,10,10,443,0,0
1497032425421,675,HTTP Request,200,,TenThreadClusterInstance 1-6,text,true,,4099,239,10,10,675,0,72
1497032425550,571,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,8000,159,10,10,570,0,71
1497032425669,471,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,4093,193,10,10,470,0,0
1497032426009,327,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,3789,167,10,10,327,0,0
1497032426044,319,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,4043,227,10,10,319,0,0
1497032426121,261,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,4234,275,10,10,261,0,0
1497032426097,286,HTTP Request,200,,TenThreadClusterInstance 1-6,text,true,,4283,199,10,10,286,0,0
1497032426082,302,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,5620,169,10,10,301,0,0
1497032426086,333,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,3904,197,10,10,333,0,0
1497032426088,333,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,3861,189,10,10,333,0,0
1497032426140,281,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,4292,203,10,10,281,0,0
1497032425345,1076,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,95921,143,10,10,706,0,0
1497032426081,376,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,4301,195,10,10,376,0,72
1497032426336,251,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,5881,189,10,10,250,0,0
1497032426382,240,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,4993,187,10,10,238,0,0
1497032426383,264,HTTP Request,200,,TenThreadClusterInstance 1-6,text,true,,5553,177,10,10,263,0,0
1497032426384,265,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,4196,177,10,10,264,0,0
1497032426363,299,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,4012,225,10,10,299,0,0
1497032426421,344,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,5029,193,10,10,343,0,0
1497032426421,395,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,6436,187,10,10,394,0,0
1497032426421,403,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,3907,157,10,10,401,0,0
1497032426458,370,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,4753,179,10,10,370,0,0
1497032426420,448,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,5375,187,10,10,445,0,71
1497032426587,324,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,8193,161,10,10,323,0,0
1497032426647,287,HTTP Request,200,,TenThreadClusterInstance 1-6,text,true,,3856,191,10,10,287,0,0
1497032426623,324,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,4448,195,10,10,324,0,0
1497032426649,324,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,4084,147,10,10,323,0,0
